"","FIPS","Arsenic","DEHP","Nitrates","Uranium"
"1",6001,1.11125874125874,1.57220930232558,1.22584905660377,1.3014606741573
"2",6003,1,1.5,0.152941176470588,1.59
"3",6005,1.10703125,1.5,0.413768115942029,3.75461538461538
"4",6007,1.89405017921147,1.5,1.32840287769784,1.02539682539683
"5",6009,1.09802083333333,1.5,0.38534693877551,4.2134693877551
"7",6013,4.49981042654028,1.5,1.54076288659794,4.76710526315789
"8",6015,1,1.5,2.14010309278351,0.579677419354839
"9",6017,2.40141732283465,1.5,0.389,5.83710843373494
"10",6019,4.58943307086614,1.5,2.2677724665392,7.51209745762712
"12",6023,1.20943181818182,1.5,0.822460317460317,0.770736842105263
"13",6025,1.735,1.5,0.775090909090909,5.94666666666667
"14",6027,12.0524242424242,1.5,0.695068493150685,11.1596992481203
"15",6029,8.37949541284404,1.54205607476636,2.82895902025436,10.4838681102362
"16",6031,16.6959090909091,1.5,0.529897959183673,4.29819277108434
"17",6033,1.78697329376855,1.5,0.730277777777778,1.12065989847716
"18",6035,3.43049180327869,1.5,0.702426035502959,6.73545454545455
"19",6037,2.09492173913043,1.50327788649706,1.78718157181572,3.76339494163424
"20",6039,12.0889972899729,1.5,1.30916018662519,42.9822916666667
"21",6041,1.64013888888889,1.45862068965517,1.02630573248408,0.989230769230769
"22",6043,1.99771739130435,1.5,0.671529411764706,4.00907692307692
"23",6045,2.35449324324324,1.16666666666667,0.678326271186441,0.899693251533742
"24",6047,9.3846875,1.5,3.01913580246914,3.86722222222222
"26",6051,8.72703703703704,1.5,0.618684210526316,12.3966037735849
"27",6053,5.61539215686274,1.45081632653061,3.11429571984436,3.87085561497326
"28",6055,2.16854251012146,1.94461538461538,0.657594501718213,1.68760563380282
"29",6057,2.75121794871795,1.5,0.452347826086957,1.38280701754386
"30",6059,1.4698,1.5,1.36737179487179,6.13048109965636
"31",6061,1.9801329787234,1.5,0.368137254901961,0.920904255319149
"33",6065,2.34179153094463,1.5,2.17250507099391,6.69505636070853
"34",6067,7.76582484725051,1.43813333333333,1.38490654205607,1.26045614035088
"35",6069,3.96672514619883,1.5,2.52764705882353,5.26113636363636
"36",6071,3.49306282722513,1.5,2.11024489795918,11.1936893203883
"37",6073,1.44912017167382,1.48119122257053,1.69463203463203,23.4526213592233
"38",6075,0.997058823529412,2.41083333333333,0.198955223880597,0.9316
"39",6077,3.89642156862745,1.50119402985075,2.40040650406504,6.07405263157895
"40",6079,3.42350806451613,1.5,1.89961842105263,4.60392592592593
"41",6081,1.09043209876543,1.88445544554455,0.610079575596817,1.42013986013986
"42",6083,1.96843243243243,1.5,1.726848,3.39549152542373
"43",6085,0.948228070175439,1.55771929824561,2.76965596330275,1.79305122494432
"44",6087,1.60875968992248,1.51941176470588,1.04283783783784,1.55412121212121
"45",6089,1.42238095238095,1.5,0.99187125748503,1.19569506726457
"47",6093,1.39950617283951,1.5,0.894609375,1.09204301075269
"48",6095,2.26640625,1.5,0.94984375,2.47246153846154
"49",6097,4.18489071038251,1.49911764705882,1.31507052709725,1.35097402597403
"50",6099,6.68055913978495,1.52452380952381,3.40385085574572,6.12232323232323
"51",6101,13.0899056603774,1.5,4.27178947368421,4.1092
"53",6105,1.75151515151515,1.5,0.242135922330097,0.782702702702703
"54",6107,3.23132530120482,1.68063291139241,5.10330308529946,7.37074358974359
"55",6109,1.32348167539267,1.5,0.699016393442623,3.88763157894737
"56",6111,1.36409615384615,1.49352040816327,2.111625,5.91792325056433
"57",6113,3.00558823529412,1.46923076923077,3.48946808510638,1.94075471698113
"58",6115,3.07098684210526,1.5,1.11241895261845,1.32049180327869
