Rank,County,LandArea
1,San Bernardino,20056.92
2,Inyo,10180.87
3,Kern,8131.91
4,Riverside,7206.47
5,Siskiyou,6277.88
6,Fresno,5957.99
7,Tulare,4824.21
8,Lassen,4541.18
9,San Diego,4206.63
10,Imperial,4176.6
11,Los Angeles,4057.88
12,Modoc,3917.77
13,Shasta,3775.4
14,Humboldt,3567.98
15,Mendocino,3506.34
16,San Luis Obispo,3298.56
17,Monterey,3280.59
18,Trinity,3179.25
19,Mono,3048.98
20,Tehama,2949.71
21,Santa Barbara,2735.08
22,Plumas,2553.04
23,Tuolumne,2220.88
24,Madera,2137.07
25,Merced,1934.97
26,Ventura,1843.13
27,El Dorado,1707.88
28,Butte,1636.46
29,Sonoma,1575.85
30,Stanislaus,1494.83
31,Mariposa,1448.82
32,Placer,1407.01
33,San Joaquin,1391.32
34,Kings,1389.42
35,San Benito,1388.71
36,Glenn,1313.95
37,Santa Clara,1290.1
38,Lake,1256.46
39,Colusa,1150.73
40,Calaveras,1020.01
41,Yolo,1014.69
42,Del Norte,1006.37
43,Sacramento,964.64
44,Nevada,957.77
45,Sierra,953.21
46,Solano,821.76
47,Orange,790.57
48,Napa,748.36
49,Alameda,739.02
50,Alpine,738.33
51,Contra Costa,715.94
52,Yuba,631.84
53,Sutter,602.41
54,Amador,594.58
55,Marin,520.31
56,San Mateo,448.41
57,Santa Cruz,445.17
58,San Francisco,46.87
